,Name,Album,Artist
0,Gorgeous,reputation,Taylor Swift
1,Paper Rings,Lover,Taylor Swift
2,Shake It Off,1989 (Deluxe),Taylor Swift
3,Style,1989 (Deluxe),Taylor Swift
4,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),Taylor Swift
5,Bad Blood,1989,Taylor Swift
6,Wildest Dreams,1989,Taylor Swift
7,Blank Space,1989 (Deluxe),Taylor Swift
8,Lavender Haze,Midnights,Taylor Swift
9,Anti-Hero,Midnights,Taylor Swift
10,august,folklore,Taylor Swift
11,Look What You Made Me Do,reputation,Taylor Swift
12,You Belong With Me,Fearless (Big Machine Radio Release Special),Taylor Swift
13,Midnight Rain,Midnights (3am Edition),Taylor Swift
14,Babe (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift
15,Don’t Blame Me,reputation,Taylor Swift
16,All Of The Girls You Loved Before,All Of The Girls You Loved Before,Taylor Swift
17,Cruel Summer,Lover,Taylor Swift
18,You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift
19,Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),Taylor Swift
20,Love Story (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift
21,Lover,Lover,Taylor Swift
22,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),Taylor Swift
23,Karma,Midnights,Taylor Swift
24,22,Red (Deluxe Edition),Taylor Swift
25,Out Of The Woods,1989 (Deluxe),Taylor Swift
26,Delicate,reputation,Taylor Swift
27,Enchanted,Speak Now,Taylor Swift
28,...Ready For It?,reputation,Taylor Swift
29,Lover (Remix) [feat. Shawn Mendes],Lover (Remix) [feat. Shawn Mendes],Taylor Swift
30,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),Taylor Swift
31,Bejeweled,Midnights,Taylor Swift
