,Name,Album,Artist
0,Mehrama,Love Aaj Kal (Original Motion Picture Soundtrack),Pritam
1,Hey Ya !,Karthik Calling Karthik,Shankar-Ehsaan-Loy
2,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),Taylor Swift
3,Play Date,Cry Baby (Deluxe Edition),Melanie Martinez
4,Flowers,Endless Summer Vacation,Miley Cyrus
5,Barbaadiyan,Shiddat,Various Artists
6,People,People,Libianca
7,Kho Gaye,Mismatched: Season 2 (Soundtrack from the Netflix Series),Mismatched - Cast
8,Night Changes,FOUR (Deluxe),One Direction
9,"Sooraj Dooba Hain (From ""Roy"")",Groove With Arijit Singh,Arijit Singh
