,Name,Album,Artist
0,Tu Jaane Na,Best of Romance: Atif Aslam & Pritam,Atif Aslam
1,Jaan 'Nisaar,Kedarnath (Original Motion Picture Soundtrack),Amit Trivedi
2,Aas Paas Khuda,Anjaana Anjaani,Vishal-Shekhar
3,"Channa Ve - From ""Bhoot - Part One: The Haunted Ship""","Channa Ve (From ""Bhoot - Part One: The Haunted Ship"" / Original Motion Picture Soundtrack)",Akhil Sachdeva
4,"Dil Kyun Yeh Mera (From ""Kites"")",Evergreen Hits Of K.K.,KK
5,Pehli Dafa,Pehli Dafa,Atif Aslam
6,"Uska Hi Banana (From ""1920 Evil Returns"")",Arijit Singh Broken Strings,Arijit Singh
7,Zara Sa,Jannat (Original Motion Picture Soundtrack),Pritam
8,Jab Tak,Bollywood Romantic Songs With Armaan Malik,Armaan Malik
9,Subhanallah,Yeh Jawaani Hai Deewani,Pritam
