,Name,Album,Artist
0,Malang Sajna,Malang Sajna,Sachet Tandon
1,It's the Time to Disco,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy
2,Hey Ya !,Karthik Calling Karthik,Shankar-Ehsaan-Loy
3,What Makes You Beautiful,Up All Night,One Direction
4,Chaleya,Jawan,Anirudh Ravichander
5,Nachde Ne Saare,Baar Baar Dekho (Original Motion Picture Soundtrack),Various Artists
6,Hookah Bar,Khiladi 786,Himesh Reshammiya
7,Tum Hi Ho Bandhu,Cocktail (Original Motion Picture Soundtrack),Pritam
8,Dhun Laagi,Love Ni Bhavai (Original Motion Picture Soundtrack),Sachin-Jigar
9,Ale,Golmaal 3,Pritam
