,Name,Album,Artist
0,"Darasal (From ""Raabta"")","Darasal (From ""Raabta"")",Atif Aslam
1,Khuda Jaane,Bachna Ae Haseeno,Vishal-Shekhar
2,Maiyya Mainu,Jersey (Original Motion Picture Soundtrack),Sachet-Parampara
3,Bole Chudiyan,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),Jatin-Lalit
4,Pappu Can't Dance,Jaane Tu... Ya Jaane Na,A.R. Rahman
5,Chammak Challo,Ra-One,Vishal-Shekhar
6,Bang Bang,Bang Bang (Original Motion Picture Soundtrack),Vishal-Shekhar
7,Tu Meri,Bang Bang (Original Motion Picture Soundtrack),Vishal-Shekhar
8,Nachde Ne Saare,Baar Baar Dekho (Original Motion Picture Soundtrack),Various Artists
9,Naina Da Kya Kasoor,Andhadhun (Original Motion Picture Soundtrack),Amit Trivedi
