,Name,Album,Artist
0,The Nights,The Days / Nights,Avicii
1,Nachde Ne Saare,Baar Baar Dekho (Original Motion Picture Soundtrack),Various Artists
2,Chittiyaan Kalaiyaan,Roy,Amaal Mallik
3,Ghagra,Yeh Jawaani Hai Deewani,Pritam
4,Sau Aasmaan,Baar Baar Dekho (Original Motion Picture Soundtrack),Various Artists
5,O O Jaane Jaana,Pyaar Kiya To Darna Kya,Jatin-Lalit
6,Love You Zindagi,Dear Zindagi (Original Motion Picture Soundtrack),Amit Trivedi
7,Sweetheart,Kedarnath (Original Motion Picture Soundtrack),Amit Trivedi
8,Lungi Dance,Lungi Dance,Yo Yo Honey Singh
9,My Dil Goes Mmmm,Salaam Namaste,Vishal-Shekhar
